id,gender,birth_date,job,TEXTNECK,ASYMMETRY,STOOPED,SLEEPINESS,product_chair,product_monitor_arm,product_wrist_guard,product_mouse,product_desk,product_holder,product_neck_pillow,product_mouse_pad,product_keyboard,product_cushion,product_id
33,Female,1975-08-01,Office worker,0.37,0.98,0.86,0.60,,,,,,1924822010,,,,,1924822010
34,Female,1992-12-04,Creator,0.83,0.10,0.36,0.45,,4896992347,,,,,,,,,4896992347
37,Male,1992-03-30,Creator,0.60,0.79,0.86,0.70,6900417399,,,,,,,,,,6900417399
40,Female,2012-02-27,Marketer,0.77,0.42,0.38,0.96,,,,,6884827783,,,,,,6884827783
41,Male,2006-03-09,ETC,0.81,0.61,0.93,0.65,,,,,,7403564872,,,,,7403564872
42,Female,1975-12-21,planner,0.02,0.28,0.52,0.69,,,,57649186,,,,,,,57649186
43,Female,1997-03-29,Creator,0.91,0.87,0.97,0.75,,,,,1601845545,,,,,,1601845545
45,Male,1997-02-08,planner,0.49,0.42,0.40,0.51,5465402206,,,,,,,,,,5465402206
46,Female,2003-01-12,Office worker,0.39,0.89,0.70,0.81,,,,7300924972,,,,,,,7300924972
48,Female,1996-10-17,ETC,0.17,0.27,0.07,0.42,6651584294,,,,,,,,,,6651584294
49,Male,1991-06-12,Creator,0.96,0.37,0.41,0.63,,,,,,6533701213,,,,,6533701213
50,Female,1992-01-16,ETC,0.55,0.46,0.04,0.01,,6091275505,,,,,,,,,6091275505
51,Female,2004-09-29,designer,0.80,0.74,0.48,0.13,6999573193,,,,,,,,,,6999573193
52,Male,2000-06-30,Marketer,0.15,0.48,0.34,0.07,,,,,,,2039515031,,,,2039515031
53,Male,1996-06-14,developer,0.00,0.16,0.14,0.65,,,,6945534310,,,,,,,6945534310
54,Male,2009-10-14,Office worker,0.75,0.60,0.56,1.00,,,,,7432233497,,,,,,7432233497
55,Male,1995-08-25,Office worker,0.96,0.97,0.37,0.27,,,,,,,,5417804895,,,5417804895
56,Female,1972-03-28,developer,0.17,0.35,0.84,0.02,6651584294,,,,,,,,,,6651584294
57,Female,1977-11-12,designer,0.06,0.44,0.03,0.18,,,1758533117,,,,,,,,1758533117
60,Female,1990-05-28,student,0.53,0.28,0.38,0.46,2420328,,,,,,,,,,2420328
61,Female,1970-05-09,Marketer,0.41,0.32,0.05,0.10,6999573193,,,,,,,,,,6999573193
62,Male,1996-09-05,designer,0.38,0.17,0.58,0.60,,,,,,,,1758533076,,,1758533076
63,Male,1971-05-22,ETC,0.39,0.61,0.69,0.52,6900417399,,,,,,,,,,6900417399
64,Male,1974-02-18,Office worker,0.46,0.30,0.97,0.79,,,,1203630018,,,,,,,1203630018
65,Female,1977-09-03,developer,0.66,0.86,0.88,0.12,,,,,1601845545,,,,,,1601845545
66,Male,1972-05-09,developer,0.39,0.84,0.76,0.62,,,,,6460742500,,,,,,6460742500
67,Female,2011-11-03,student,0.67,0.00,0.06,0.06,,1955685399,,,,,,,,,1955685399
69,Male,1970-12-08,developer,0.01,0.37,0.69,0.74,,,,,,,38168941,,,,38168941
70,Male,1999-02-11,developer,0.10,0.64,0.97,0.26,,4896992347,,,,,,,,,4896992347
72,Male,1985-02-08,planner,0.54,0.42,0.35,0.22,,,,,,6183775991,,,,,6183775991
74,Male,1988-01-17,developer,0.35,0.35,0.46,0.70,,,,7300924972,,,,,,,7300924972
75,Female,1974-03-24,designer,0.87,0.46,0.72,0.07,,,,,,,,,,6183771576,6183771576
76,Female,1984-06-23,ETC,0.67,0.40,0.07,0.17,,,,6945534310,,,,,,,6945534310
78,Female,1998-06-07,developer,0.40,0.28,0.10,0.67,,,,,,,2039515031,,,,2039515031
82,Male,2004-06-30,designer,0.39,0.15,0.70,0.19,,,,,,,7441111596,,,,7441111596
83,Female,1978-10-01,Creator,0.69,0.87,0.48,0.02,,7418025096,,,,,,,,,7418025096
84,Female,1984-07-19,planner,0.87,0.47,0.54,0.01,,,,,,,,310842037,,,310842037
85,Male,2009-06-30,ETC,0.55,0.74,0.21,0.93,,,,,,,,,6143061581,,6143061581
86,Female,1985-10-14,ETC,0.46,0.64,0.44,0.48,,,,,,,,310842037,,,310842037
87,Male,1996-07-22,Marketer,0.41,0.57,0.48,0.60,,,,,6460742500,,,,,,6460742500
88,Male,1973-11-18,developer,0.59,0.90,0.63,0.82,,1955685399,,,,,,,,,1955685399
90,Male,2002-09-07,ETC,0.15,0.28,0.34,0.40,,1955685399,,,,,,,,,1955685399
92,Female,1981-08-12,Creator,0.49,0.58,0.51,0.87,,,,,6884827783,,,,,,6884827783
93,Female,1990-12-03,developer,0.32,0.62,0.49,0.30,,,6257025448,,,,,,,,6257025448
95,Female,2009-02-28,Marketer,0.53,0.65,0.99,0.27,,,7561117482,,,,,,,,7561117482
97,Female,1984-11-15,planner,0.17,0.68,0.49,0.61,,,6257025448,,,,,,,,6257025448
100,Male,1980-05-25,Office worker,0.45,0.35,0.69,0.04,,,7561117482,,,,,,,,7561117482
103,Male,1974-09-07,Marketer,0.65,0.56,0.76,0.70,,7418025096,,,,,,,,,7418025096
105,Male,1990-07-15,developer,0.84,0.57,0.66,0.55,,,,47421363,,,,,,,47421363
106,Female,2003-10-17,Office worker,0.10,0.09,0.48,0.44,,,,7052320839,,,,,,,7052320839
108,Male,1998-12-03,planner,0.16,0.42,0.79,0.50,,,,,,,7441111596,,,,7441111596
109,Female,1998-04-13,ETC,0.45,0.48,0.59,0.13,,,,,,,,,5124455949,,5124455949
111,Female,2000-09-17,developer,0.89,0.86,0.54,0.07,,,7561117482,,,,,,,,7561117482
112,Female,1972-06-06,designer,0.29,0.91,0.03,0.26,,,,,,,7441111596,,,,7441111596
113,Male,1992-09-22,Marketer,0.98,0.86,0.04,0.33,,,6257025448,,,,,,,,6257025448
114,Female,2011-07-13,planner,1.00,0.01,0.17,0.29,,,,,,,,,,6183771576,6183771576
116,Female,1989-04-16,student,0.15,0.85,0.04,0.24,,,,,,,,,,1267950209,1267950209
117,Female,1987-06-26,developer,0.80,0.27,0.21,0.59,,,,,,,2039515031,,,,2039515031
118,Male,1980-05-23,Marketer,0.43,0.89,0.93,0.65,,7418025096,,,,,,,,,7418025096
120,Female,2012-02-15,developer,0.43,0.76,0.37,0.08,,,,,,6533701213,,,,,6533701213
121,Male,2006-06-28,planner,0.61,0.02,0.70,0.67,,,,,,,,310842037,,,310842037
122,Female,1980-12-28,designer,0.87,0.04,0.83,0.03,,,6257025448,,,,,,,,6257025448
123,Female,1987-12-31,ETC,0.64,0.78,0.56,0.27,,1955685399,,,,,,,,,1955685399
127,Female,1990-01-26,Office worker,0.01,0.82,0.78,0.95,,,,,,,,,6348161493,,6348161493
129,Male,1986-04-05,student,0.28,0.13,0.21,0.49,6651584294,,,,,,,,,,6651584294
133,Female,2003-05-22,developer,1.00,0.53,0.78,0.15,5465402206,,,,,,,,,,5465402206
136,Female,1982-02-05,Office worker,0.62,0.17,0.19,0.43,,,,,,1924822010,,,,,1924822010
139,Female,1970-04-20,planner,0.40,0.17,0.35,0.79,,,,6945534310,,,,,,,6945534310
140,Female,2010-06-28,Marketer,0.68,0.72,0.86,0.23,,,1797408426,,,,,,,,1797408426
144,Female,1996-06-24,planner,0.21,0.58,0.02,0.45,,1955685399,,,,,,,,,1955685399
145,Male,1988-07-23,Office worker,0.07,0.63,0.05,0.97,6651584294,,,,,,,,,,6651584294
146,Female,1975-03-26,developer,0.82,0.02,0.99,0.37,,4896992347,,,,,,,,,4896992347
147,Female,1982-07-30,Marketer,0.81,0.35,0.47,0.62,5465402206,,,,,,,,,,5465402206
148,Female,1987-02-03,Creator,0.52,0.02,0.31,0.67,,,,,,,,5417804895,,,5417804895
152,Male,1973-07-06,ETC,0.74,0.01,0.90,0.07,,7418025096,,,,,,,,,7418025096
154,Female,1992-01-13,planner,0.23,0.61,0.81,0.81,6900417399,,,,,,,,,,6900417399
156,Male,1983-01-09,ETC,0.45,0.96,0.77,0.34,,,,,,,,5417804895,,,5417804895
158,Male,1998-05-27,developer,0.00,0.40,0.89,0.22,,,,7325418422,,,,,,,7325418422
159,Male,2012-06-03,Marketer,0.95,0.38,0.36,0.34,,,,5870389792,,,,,,,5870389792
160,Female,1996-08-15,Creator,0.89,0.16,0.73,0.41,2420328,,,,,,,,,,2420328
161,Male,1994-01-24,planner,0.97,0.07,0.01,0.51,,,,,,,,,,6183771576,6183771576
163,Male,1994-12-13,designer,0.34,0.51,0.04,0.04,,,,,,,,40881999,,,40881999
164,Male,2012-07-06,designer,0.66,0.92,0.55,0.55,5465402206,,,,,,,,,,5465402206
165,Female,1973-10-30,developer,0.51,0.84,0.81,0.25,,,,,,,,,,6183771576,6183771576
166,Female,1981-06-30,developer,0.83,0.76,0.82,0.82,,4896992347,,,,,,,,,4896992347
168,Female,1992-08-28,student,0.07,0.32,0.14,0.47,,,,,,,2039515031,,,,2039515031
171,Male,1972-01-29,designer,0.38,0.86,0.08,0.38,,,,,5999614505,,,,,,5999614505
173,Female,1991-11-11,designer,0.66,0.35,0.11,0.41,,,6257025448,,,,,,,,6257025448
175,Female,1970-12-22,student,0.96,0.60,0.75,0.53,,,,,6884827783,,,,,,6884827783
177,Male,1981-03-08,student,0.69,0.86,0.76,0.39,5465402206,,,,,,,,,,5465402206
178,Female,1980-05-03,Marketer,0.82,0.11,0.14,0.28,,,,,,4674285118,,,,,4674285118
179,Female,2011-04-25,ETC,0.23,0.67,0.09,0.45,,,,,,,7246878826,,,,7246878826
180,Female,1987-12-29,Office worker,0.87,0.56,0.44,0.29,2420328,,,,,,,,,,2420328
182,Female,2005-04-23,Office worker,0.41,0.40,0.00,0.34,,,,,,,,7438077396,,,7438077396
183,Male,1989-04-30,student,0.76,0.91,0.16,0.71,6900417399,,,,,,,,,,6900417399
186,Male,1987-08-22,Marketer,0.32,0.72,0.19,0.61,,,,7327982983,,,,,,,7327982983
188,Female,1974-07-26,Office worker,0.62,0.01,0.75,0.89,,,,,,,,40881999,,,40881999
189,Male,1973-11-08,designer,0.15,0.74,0.81,0.17,,,,,6460742500,,,,,,6460742500
190,Male,1992-10-28,Creator,0.90,0.84,0.46,0.23,,,,,,5273195931,,,,,5273195931
191,Female,1980-07-01,student,0.23,0.09,0.26,0.85,,,,,,5273195931,,,,,5273195931
192,Male,1977-11-09,planner,0.09,0.07,0.94,0.20,,6091275505,,,,,,,,,6091275505
193,Female,1976-10-09,Marketer,0.90,0.65,0.78,0.57,,,1797408426,,,,,,,,1797408426
194,Male,1985-01-25,Marketer,0.09,0.53,0.09,0.27,,,7561117482,,,,,,,,7561117482
195,Male,1973-08-05,planner,0.31,0.56,0.99,0.84,2420328,,,,,,,,,,2420328
196,Female,1986-06-29,student,0.29,0.10,0.37,0.71,,,,,5999614505,,,,,,5999614505
197,Male,2010-12-09,planner,0.44,0.53,0.25,0.04,,,,,,1924822010,,,,,1924822010
198,Male,2000-02-16,Office worker,0.23,0.48,0.65,0.57,,,1758533117,,,,,,,,1758533117
200,Male,1976-05-10,planner,0.30,0.89,0.46,0.71,,4896992347,,,,,,,,,4896992347
201,Male,2006-12-28,Marketer,0.45,0.16,0.19,0.30,,7418025096,,,,,,,,,7418025096
202,Female,1994-02-07,planner,0.80,0.94,0.69,0.10,,,1797408426,,,,,,,,1797408426
203,Male,1971-06-14,Office worker,0.07,0.86,0.14,0.02,6900417399,,,,,,,,,,6900417399
204,Male,1973-01-27,ETC,0.78,0.75,0.96,0.14,,,1797408426,,,,,,,,1797408426
205,Male,1976-01-25,designer,0.58,0.07,0.83,0.31,,,6257025448,,,,,,,,6257025448
206,Male,1993-10-24,designer,0.20,0.66,0.13,0.27,,,,,,5273195931,,,,,5273195931
207,Male,1980-09-28,designer,0.23,0.78,0.29,0.68,,,,,5999614505,,,,,,5999614505
209,Male,1970-05-18,Marketer,0.28,0.92,0.51,0.34,,,,,,,7246878826,,,,7246878826
210,Male,2006-09-29,ETC,0.20,0.01,0.08,0.22,,,,6945534310,,,,,,,6945534310
212,Male,1992-02-13,designer,0.87,0.64,0.60,0.19,,,7561117482,,,,,,,,7561117482
214,Female,1994-05-12,Creator,0.52,0.79,0.64,0.93,,,,,7432233497,,,,,,7432233497
215,Female,2009-08-04,developer,0.80,0.26,0.65,0.35,,,,,,4674285118,,,,,4674285118
216,Male,1985-05-23,developer,0.14,0.76,0.77,0.70,,,,,,,7441111596,,,,7441111596
218,Male,2011-03-13,Marketer,0.47,0.48,0.68,0.16,,,,,,,2039515031,,,,2039515031
221,Female,1986-08-06,developer,0.44,0.40,0.92,0.82,2420328,,,,,,,,,,2420328
222,Female,1988-05-22,developer,0.46,0.47,0.63,0.11,,,,,,,2039515031,,,,2039515031
223,Male,1978-07-23,developer,0.08,0.32,0.69,0.88,,7418025096,,,,,,,,,7418025096
224,Male,2009-12-28,Creator,0.50,0.45,0.46,0.63,,,,,,,38168941,,,,38168941
227,Male,1980-11-08,Creator,0.43,0.26,0.05,0.57,6999573193,,,,,,,,,,6999573193
228,Female,1992-05-27,student,0.04,0.43,0.77,0.28,6900417399,,,,,,,,,,6900417399
229,Male,1990-09-10,planner,0.90,0.84,0.34,0.82,,,,,,,7447851197,,,,7447851197
231,Male,2012-05-30,Creator,0.01,0.13,0.85,1.00,,,,1203630018,,,,,,,1203630018
233,Male,1979-04-02,designer,0.57,0.68,0.14,0.30,,,,,,,,,6406573735,,6406573735
234,Male,2010-05-07,Creator,0.45,0.47,0.95,0.51,,,,7327982983,,,,,,,7327982983
235,Female,1987-02-22,student,0.79,0.75,0.91,0.70,,,,,,,,,,6911909992,6911909992
236,Female,1990-03-18,student,0.24,0.69,0.77,0.94,,,,,,,,5417804895,,,5417804895
237,Female,2012-03-16,developer,0.49,0.12,0.26,0.66,,,,,,,,1758533076,,,1758533076
238,Male,2012-02-17,planner,0.78,0.60,0.59,0.01,,,,,,,38168941,,,,38168941
240,Female,1978-01-14,designer,0.28,0.61,0.79,0.92,,7418025096,,,,,,,,,7418025096
242,Male,2008-02-11,developer,0.00,0.22,0.36,0.85,,,,57649186,,,,,,,57649186
243,Female,1978-07-06,ETC,0.05,0.69,0.12,0.50,2420328,,,,,,,,,,2420328
245,Female,1988-06-17,Creator,0.37,0.67,0.44,0.94,6900417399,,,,,,,,,,6900417399
249,Female,1971-05-10,Creator,0.52,0.82,0.78,0.66,,,,,,,,,31613634,,31613634
250,Female,2006-09-09,Marketer,0.97,0.00,0.89,0.39,,,,,,,,,,1267950209,1267950209
252,Female,1991-08-18,Office worker,0.84,0.30,0.89,0.40,,,,,,,,,31613634,,31613634
253,Male,2009-11-01,planner,0.61,0.89,0.41,0.07,,,,7325418422,,,,,,,7325418422
254,Male,2002-08-25,Marketer,0.31,0.44,0.43,0.38,,,,,,,,5417804895,,,5417804895
255,Female,1980-10-25,student,0.83,0.17,0.95,0.92,,,,,,,,,,7335559264,7335559264
257,Female,1993-10-14,ETC,0.57,0.49,0.43,0.46,,,,,,,2039515031,,,,2039515031
258,Female,1994-08-25,planner,0.07,0.92,0.97,0.06,,4896992347,,,,,,,,,4896992347
259,Male,1971-08-29,designer,0.28,0.93,0.13,0.35,6900417399,,,,,,,,,,6900417399
261,Male,1990-05-15,Creator,0.94,0.67,0.07,0.49,,,,,7432233497,,,,,,7432233497
263,Male,1975-01-15,ETC,0.18,0.81,0.34,0.97,,,,,,,7246878826,,,,7246878826
264,Male,1994-01-28,designer,0.64,0.82,0.66,0.95,,,6257025448,,,,,,,,6257025448
265,Male,1997-09-24,ETC,0.87,0.48,0.28,0.97,,,,,5999614505,,,,,,5999614505
266,Female,1992-09-12,ETC,0.84,0.85,0.81,0.15,6651584294,,,,,,,,,,6651584294
267,Female,1990-09-18,planner,0.38,0.91,0.44,0.94,,,,,,,,,6143061581,,6143061581
268,Female,1974-02-25,student,0.98,0.26,0.08,0.28,,,,,,,,,6143061581,,6143061581
270,Male,1972-02-18,ETC,0.22,0.91,0.01,0.95,,6091275505,,,,,,,,,6091275505
271,Male,1996-04-12,designer,0.07,0.95,0.46,0.69,,,7561117482,,,,,,,,7561117482
272,Male,1978-11-04,designer,0.56,0.79,0.07,0.77,6900417399,,,,,,,,,,6900417399
273,Male,1988-08-27,Creator,0.52,0.40,0.11,0.22,,,,,,,,,5124455949,,5124455949
274,Female,1987-06-29,Marketer,0.02,0.22,0.24,0.22,,,1758533117,,,,,,,,1758533117
275,Male,2001-08-08,ETC,0.87,0.14,0.75,0.60,,,,7325418422,,,,,,,7325418422
276,Male,1999-07-09,Office worker,0.51,0.79,0.86,0.43,,,,,,,,,6143061581,,6143061581
277,Male,1997-03-26,student,0.21,0.43,0.76,0.66,,7418025096,,,,,,,,,7418025096
278,Female,1981-11-03,Marketer,0.97,0.85,0.65,0.40,,,1758533117,,,,,,,,1758533117
279,Female,1976-06-23,designer,0.71,0.33,0.30,0.70,6900417399,,,,,,,,,,6900417399
280,Male,2010-12-05,designer,0.27,0.52,0.91,0.04,,4896992347,,,,,,,,,4896992347
282,Female,2005-09-12,developer,0.65,0.50,0.49,0.17,,,,1203630018,,,,,,,1203630018
283,Male,2012-10-31,ETC,0.69,0.81,0.60,0.93,,,,7325418422,,,,,,,7325418422
284,Male,1985-02-21,Office worker,0.92,0.63,0.86,0.12,,,,7325418422,,,,,,,7325418422
286,Male,2000-02-12,developer,0.83,0.93,0.81,0.42,,,,,,,7447851197,,,,7447851197
288,Male,1974-01-19,designer,0.99,0.19,0.52,0.82,,,,,,,,5417804895,,,5417804895
289,Female,1995-09-03,designer,0.65,0.68,0.83,0.37,,,,,,,,310842037,,,310842037
290,Male,2001-01-01,designer,0.65,0.48,0.29,0.50,,,,,,,,,6348161493,,6348161493
291,Female,2004-11-09,Marketer,0.36,0.97,0.58,0.41,,,,,,,7441111596,,,,7441111596
292,Female,2011-07-15,student,0.97,0.51,0.26,0.80,,,,,,1924822010,,,,,1924822010
294,Male,1975-09-11,student,0.69,0.65,0.50,0.07,,,,7325418422,,,,,,,7325418422
299,Male,2008-10-08,ETC,0.86,0.01,0.82,0.74,,,,,,6183775991,,,,,6183775991
301,Male,2002-08-25,planner,0.32,0.88,0.77,0.07,,,,,,6533701213,,,,,6533701213
302,Male,1975-11-11,ETC,0.50,0.35,0.34,0.41,,7418025096,,,,,,,,,7418025096
303,Male,2004-11-24,developer,0.42,0.46,0.26,0.67,6900417399,,,,,,,,,,6900417399
304,Female,1973-04-26,Marketer,0.22,0.09,0.48,0.97,,,,,,,,,,6776454005,6776454005
308,Female,1987-02-27,planner,0.41,0.83,0.86,0.44,,,,,,,,,,6776454005,6776454005
309,Female,1998-09-30,ETC,0.15,0.28,0.64,0.73,,,7561117482,,,,,,,,7561117482
311,Female,2007-01-13,Marketer,0.34,0.70,0.58,0.87,,6091275505,,,,,,,,,6091275505
313,Female,1987-07-03,student,0.10,0.69,0.80,0.43,,,1797408426,,,,,,,,1797408426
314,Male,1996-03-26,planner,0.51,0.50,0.67,0.89,,,,,6884827783,,,,,,6884827783
316,Female,2010-10-27,planner,0.81,0.90,0.95,0.50,,,,,,,,310842037,,,310842037
317,Male,2007-02-18,Creator,0.42,0.62,0.22,0.95,,,7561117482,,,,,,,,7561117482
318,Female,2002-01-14,ETC,0.13,0.65,0.91,0.66,6651584294,,,,,,,,,,6651584294
320,Male,2012-05-31,ETC,0.90,0.95,0.02,0.54,6900417399,,,,,,,,,,6900417399
321,Female,1988-02-11,Office worker,0.42,0.89,0.29,0.33,,6091275505,,,,,,,,,6091275505
322,Female,2006-05-11,Marketer,0.43,0.45,0.54,0.39,,,,5870389792,,,,,,,5870389792
324,Male,1972-05-30,planner,0.16,0.77,0.16,0.35,,4896992347,,,,,,,,,4896992347
326,Female,1978-01-21,Office worker,0.41,0.42,0.74,0.89,5465402206,,,,,,,,,,5465402206
327,Male,2007-10-06,ETC,0.77,0.69,0.12,0.89,,,1758533117,,,,,,,,1758533117
328,Female,1977-11-06,Marketer,0.89,0.63,0.16,0.53,,,7561117482,,,,,,,,7561117482
329,Male,1974-01-20,Creator,0.47,0.61,0.74,0.48,,,,,,,,,6143061581,,6143061581
330,Male,2001-10-21,planner,0.97,0.14,0.01,0.35,,,,,,,,,6143061581,,6143061581
331,Female,1985-05-11,student,0.55,0.33,0.63,0.28,,,,,,,,,,6911909992,6911909992
332,Male,1997-03-12,developer,0.88,0.42,0.92,0.46,,4896992347,,,,,,,,,4896992347
337,Male,2004-06-18,ETC,0.56,0.61,0.70,0.41,,6091275505,,,,,,,,,6091275505
338,Female,2007-08-27,Marketer,0.09,0.99,0.52,0.65,,,,,,,,,,6776454005,6776454005
339,Female,1974-11-18,student,0.79,0.06,0.43,0.94,2420328,,,,,,,,,,2420328
340,Male,1983-01-20,student,0.47,0.42,0.80,0.27,,,1758533117,,,,,,,,1758533117
341,Female,2004-11-11,ETC,0.75,0.97,0.77,0.06,,,,,,,,7438077396,,,7438077396
342,Female,2008-02-14,student,0.13,0.58,0.76,0.25,,,1797408426,,,,,,,,1797408426
343,Female,1993-01-21,developer,0.56,0.48,0.32,0.27,6651584294,,,,,,,,,,6651584294
345,Female,1973-12-28,designer,0.60,0.86,0.91,0.66,,4896992347,,,,,,,,,4896992347
347,Female,1991-02-09,planner,0.70,0.91,0.90,0.18,,,,7300924972,,,,,,,7300924972
348,Male,1981-05-26,Office worker,0.74,0.96,0.70,0.60,,,,,,,2039515031,,,,2039515031
350,Male,2007-04-09,student,0.64,0.66,0.98,0.29,,,,,6460742500,,,,,,6460742500
351,Female,2011-03-19,developer,0.46,0.58,0.26,0.15,,,,,,,,,,7335559264,7335559264
353,Female,2000-02-01,student,0.80,0.43,0.51,0.38,,1448628599,,,,,,,,,1448628599
354,Female,1975-11-08,Marketer,0.57,0.77,0.01,0.37,,7418025096,,,,,,,,,7418025096
356,Male,1986-10-11,ETC,0.48,0.36,0.44,0.29,,,7561117482,,,,,,,,7561117482
357,Female,2008-10-31,planner,0.80,0.67,0.59,0.50,,7418025096,,,,,,,,,7418025096
358,Female,2004-07-09,Creator,0.61,0.18,0.68,0.09,2420328,,,,,,,,,,2420328
361,Female,2000-04-30,developer,0.15,0.56,0.29,0.31,,,1758533117,,,,,,,,1758533117
362,Male,1996-02-13,student,0.98,0.50,0.11,0.80,2420328,,,,,,,,,,2420328
363,Male,2010-05-26,developer,0.78,0.09,0.89,0.56,,,,,,,7246878826,,,,7246878826
364,Male,2009-02-05,planner,0.80,0.19,0.65,0.44,,1448628599,,,,,,,,,1448628599
365,Female,1970-08-06,ETC,0.64,0.09,0.48,0.27,,,,57649186,,,,,,,57649186
366,Male,1975-07-02,student,0.31,0.21,0.53,0.90,,,7561117482,,,,,,,,7561117482
367,Male,1984-10-10,developer,0.23,0.00,0.63,0.23,,,,,7432233497,,,,,,7432233497
368,Male,2009-05-11,designer,0.57,0.38,0.77,0.71,,,1797408426,,,,,,,,1797408426
369,Female,1970-02-21,Marketer,0.82,0.63,0.64,0.80,,,,,5999614505,,,,,,5999614505
370,Female,1996-06-12,developer,0.88,0.19,0.73,0.69,,,,,,,7447851197,,,,7447851197
371,Female,1985-06-02,Office worker,0.20,0.22,0.98,1.00,,,,,6460742500,,,,,,6460742500
373,Female,2009-05-18,planner,0.77,0.92,0.48,0.20,,,1758533117,,,,,,,,1758533117
374,Male,2003-04-17,developer,0.14,0.70,0.86,0.27,,,,,,,38168941,,,,38168941
375,Male,1982-08-26,designer,0.88,0.33,0.77,0.05,,,,,,,2039515031,,,,2039515031
376,Male,1982-12-17,planner,0.27,0.01,0.21,0.39,5465402206,,,,,,,,,,5465402206
377,Male,2002-11-16,Creator,0.32,0.17,0.15,0.80,,,,,,,,1758533076,,,1758533076
379,Female,2012-02-25,Creator,0.74,0.76,0.35,0.51,,,,,,,,,31613634,,31613634
380,Female,1988-05-17,planner,0.73,0.71,0.79,0.98,,,,,,5273195931,,,,,5273195931
381,Male,1971-03-05,developer,0.60,0.94,0.67,0.11,,,,6945534310,,,,,,,6945534310
383,Male,2006-10-23,ETC,0.36,0.45,0.30,0.02,,,,,,,38168941,,,,38168941
384,Male,1971-07-24,Office worker,0.91,0.60,0.60,0.77,,,,,,,,310842037,,,310842037
385,Male,2009-03-23,planner,0.01,0.42,0.89,0.29,,1448628599,,,,,,,,,1448628599
386,Male,2004-03-13,student,0.92,0.42,0.37,0.51,,,,,,5273195931,,,,,5273195931
387,Male,1972-09-04,Creator,0.12,0.98,0.87,0.28,,6091275505,,,,,,,,,6091275505
388,Male,2010-09-01,student,0.31,0.43,0.41,0.72,,7418025096,,,,,,,,,7418025096
389,Male,1974-03-13,student,0.21,0.08,0.35,0.78,,,,,,,2039515031,,,,2039515031
391,Female,1981-09-12,Creator,0.31,0.75,0.14,0.95,,,1797408426,,,,,,,,1797408426
392,Male,2002-02-07,planner,0.73,0.15,0.93,0.78,,,,,,1924822010,,,,,1924822010
393,Female,1990-10-15,Office worker,0.19,0.85,0.06,0.91,,,,,,,7441111596,,,,7441111596
395,Male,1980-12-29,Marketer,0.54,0.52,0.18,0.08,,,,1203630018,,,,,,,1203630018
397,Male,1976-07-13,ETC,0.48,0.71,0.09,0.14,6651584294,,,,,,,,,,6651584294
398,Male,1993-03-06,planner,1.00,0.34,0.83,0.53,,,,,,,2039515031,,,,2039515031
400,Male,2009-09-15,designer,0.52,0.18,0.90,0.25,,,1758533117,,,,,,,,1758533117
401,Male,2006-07-12,Marketer,0.12,0.10,0.75,0.94,,,,,,,7447851197,,,,7447851197
402,Female,2005-06-30,Office worker,0.50,0.18,0.48,0.28,,,1797408426,,,,,,,,1797408426
406,Male,1978-07-29,Marketer,0.70,0.15,0.06,0.38,,,,,,,,,,6183771576,6183771576
407,Male,1974-09-11,student,0.34,0.31,0.11,0.19,,,7561117482,,,,,,,,7561117482
